run,package,interval,language,exec_time,num_clients,cpu_percentage,memory_usage
2024-11-25 09:58:28.914,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:29.130,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:29.342,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:29.554,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:29.764,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:29.979,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:30.192,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:30.405,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:30.616,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:30.827,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:31.038,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:31.249,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:31.462,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:31.674,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:31.892,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:32.108,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:32.319,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:32.529,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:32.741,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:32.952,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:33.163,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:33.374,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:33.585,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:33.797,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:34.008,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:34.219,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:34.430,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:34.642,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:34.852,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:35.063,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:35.274,run_1_repetition_9,,,py,180,2,0.0,41345024
2024-11-25 09:58:35.485,run_1_repetition_9,,,py,180,2,0.0,41345024
