# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 103  of event 'cycles'
# Event count (approx.): 42839332
#
# Overhead  Command   Shared Object         Symbol                                 
# ........  ........  ....................  .......................................
#
    16.37%  listener  [kernel.kallsyms]     [k] delay_tsc
    14.27%  listener  [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     8.19%  listener  libfastrtps.so.2.6.6  [.] 0x00000000002473f0
     7.46%  listener  libfastrtps.so.2.6.6  [.] 0x0000000000140fb4
     6.93%  listener  libfastrtps.so.2.6.6  [.] 0x0000000000142a10
     6.55%  listener  libfastcdr.so.1.0.24  [.] eprosima::fastcdr::Cdr::serialize
     6.55%  listener  [kernel.kallsyms]     [k] lookup_bh_lru
     6.55%  listener  libfastrtps.so.2.6.6  [.] 0x000000000013dd34
     6.31%  listener  [kernel.kallsyms]     [k] futex_wait
     6.17%  listener  librclcpp.so          [.] 0x00000000000b2a94
     5.96%  listener  [kernel.kallsyms]     [k] _raw_spin_unlock
     1.18%  listener  [kernel.kallsyms]     [k] __percpu_counter_sum_mask
     1.02%  listener  libc.so.6             [.] pthread_cond_clockwait@@GLIBC_2.34
     0.77%  listener  [kernel.kallsyms]     [k] move_addr_to_user
     0.75%  listener  [kernel.kallsyms]     [k] free_percpu.part.0
     0.73%  listener  libfastrtps.so.2.6.6  [.] 0x000000000013e2b4
     0.71%  listener  [kernel.kallsyms]     [k] entry_SYSCALL_64
     0.62%  listener  libstdc++.so.6.0.30   [.] std::chrono::_V2::steady_clock::now
     0.57%  listener  [kernel.kallsyms]     [k] percpu_counter_destroy
     0.55%  listener  [kernel.kallsyms]     [k] udp_recvmsg
     0.47%  listener  [kernel.kallsyms]     [k] restore_fpregs_from_fpstate
     0.42%  listener  [kernel.kallsyms]     [k] switch_fpu_return
     0.29%  listener  [kernel.kallsyms]     [k] __check_object_size
     0.25%  listener  [kernel.kallsyms]     [k] pgd_free
     0.14%  listener  [kernel.kallsyms]     [k] native_sched_clock
     0.06%  listener  [kernel.kallsyms]     [k] default_do_nmi
     0.05%  listener  [kernel.kallsyms]     [k] nmi_cpu_backtrace
     0.03%  listener  [kernel.kallsyms]     [k] perf_event_nmi_handler
     0.03%  listener  [kernel.kallsyms]     [k] __rcu_read_unlock
     0.02%  listener  [kernel.kallsyms]     [k] native_write_msr
     0.00%  listener  [unknown]             [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
