# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 93  of event 'cycles'
# Event count (approx.): 64302337
#
# Overhead  Command   Shared Object                                    Symbol                                                            
# ........  ........  ...............................................  ..................................................................
#
    11.91%  listener  python3.10                                       [.] _PyEval_EvalFrameDefault
    11.76%  listener  [kernel.kallsyms]                                [k] native_queued_spin_lock_slowpath
     6.47%  listener  libc.so.6                                        [.] _int_malloc
     5.95%  listener  _rclpy_pybind11.cpython-310-x86_64-linux-gnu.so  [.] 0x00000000000a7000
     5.95%  listener  libc.so.6                                        [.] pthread_mutex_lock@@GLIBC_2.2.5
     5.95%  listener  libfastrtps.so.2.6.6                             [.] eprosima::fastdds::dds::DataReaderImpl::get_first_untaken_info
     5.95%  listener  python3.10                                       [.] _PyObject_GenericGetAttrWithDict
     5.95%  listener  python3.10                                       [.] 0x00000000000702f4
     5.95%  listener  python3.10                                       [.] 0x000000000014736b
     4.89%  listener  [kernel.kallsyms]                                [k] ipv4_mtu
     4.76%  listener  python3.10                                       [.] PyObject_GetAttr
     4.33%  listener  libfastrtps.so.2.6.6                             [.] 0x00000000004bca14
     4.02%  listener  libfastrtps.so.2.6.6                             [.] 0x00000000006094c4
     3.70%  listener  [kernel.kallsyms]                                [k] llist_add_batch
     3.44%  listener  [kernel.kallsyms]                                [k] ieee80211_amsdu_aggregate
     2.71%  listener  libc.so.6                                        [.] __offtime
     1.16%  listener  [kernel.kallsyms]                                [k] try_grab_folio
     1.16%  listener  libc.so.6                                        [.] __new_sem_wait_slow64.constprop.0
     0.54%  listener  [kernel.kallsyms]                                [k] futex_wake
     0.49%  listener  libc.so.6                                        [.] clock_gettime@@GLIBC_2.17
     0.42%  listener  libc.so.6                                        [.] __GI___pthread_disable_asynccancel
     0.41%  listener  libfastrtps.so.2.6.6                             [.] 0x000000000023b890
     0.35%  listener  [kernel.kallsyms]                                [k] do_syscall_64
     0.32%  listener  [kernel.kallsyms]                                [k] __refill_stock
     0.28%  listener  [kernel.kallsyms]                                [k] kmem_cache_free
     0.27%  listener  [kernel.kallsyms]                                [k] __get_user_8
     0.22%  listener  [kernel.kallsyms]                                [k] skb_release_data
     0.21%  listener  [kernel.kallsyms]                                [k] mem_cgroup_handle_over_high
     0.19%  listener  [kernel.kallsyms]                                [k] udp_recvmsg
     0.12%  listener  [kernel.kallsyms]                                [k] perf_ctx_enable
     0.09%  listener  [kernel.kallsyms]                                [k] native_sched_clock
     0.03%  listener  [kernel.kallsyms]                                [k] sched_clock
     0.02%  listener  [kernel.kallsyms]                                [k] native_write_msr
     0.01%  listener  [kernel.kallsyms]                                [k] native_apic_msr_write


#
# (Cannot load tips.txt file, please install perf!)
#
