# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 87  of event 'cycles'
# Event count (approx.): 29345330
#
# Overhead  Command  Shared Object         Symbol                                     
# ........  .......  ....................  ...........................................
#
    11.71%  talker   [kernel.kallsyms]     [k] dequeue_task
    11.52%  talker   [kernel.kallsyms]     [k] internal_get_user_pages_fast
    10.85%  talker   libc.so.6             [.] __GI___futex_abstimed_wait_cancelable64
    10.76%  talker   libfastrtps.so.2.6.6  [.] 0x0000000000144a60
     9.81%  talker   libc.so.6             [.] __vfprintf_internal
     9.81%  talker   libspdlog.so.1.9.2    [.] 0x0000000000031c80
     9.45%  talker   libfastrtps.so.2.6.6  [.] 0x00000000001423d0
     9.06%  talker   librcl.so             [.] 0x000000000000c290
     5.73%  talker   libc.so.6             [.] __pthread_mutex_cond_lock
     2.00%  talker   [kernel.kallsyms]     [k] __percpu_counter_sum_mask
     1.19%  talker   ld-linux-x86-64.so.2  [.] __tls_get_addr
     1.05%  talker   libfastrtps.so.2.6.6  [.] 0x000000000013b520
     1.00%  talker   librclcpp.so          [.] 0x00000000000d49ed
     0.96%  talker   [kernel.kallsyms]     [k] __get_user_8
     0.90%  talker   [kernel.kallsyms]     [k] __mod_memcg_state
     0.88%  talker   [kernel.kallsyms]     [k] switch_fpu_return
     0.81%  talker   libc.so.6             [.] _int_free
     0.80%  talker   [kernel.kallsyms]     [k] _find_next_bit
     0.61%  talker   [kernel.kallsyms]     [k] kmem_cache_free
     0.40%  talker   [kernel.kallsyms]     [k] plist_del
     0.27%  talker   [kernel.kallsyms]     [k] __rcu_read_unlock
     0.22%  talker   [kernel.kallsyms]     [k] native_sched_clock
     0.07%  talker   [kernel.kallsyms]     [k] nmi_cpu_backtrace
     0.04%  talker   [kernel.kallsyms]     [k] native_write_msr
     0.04%  talker   [kernel.kallsyms]     [k] exc_nmi
     0.04%  talker   [kernel.kallsyms]     [k] ct_nmi_exit
     0.00%  talker   [unknown]             [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
