exec,label,timestamp,cpu,mem
0,pubsub-talker-py-1,1696979356,1.39,575210.87
0,pubsub-listener-py-1,1696979356,1.08,526356.96
1,pubsub-talker-py-1,1696979419,1.30,575069.34
1,pubsub-listener-py-1,1696979419,1.03,591706.28
2,pubsub-talker-py-1,1696979482,1.18,577076.88
2,pubsub-listener-py-1,1696979482,1.05,526337.72
3,pubsub-talker-py-1,1696979545,1.17,575069.34
3,pubsub-listener-py-1,1696979545,1.07,462954.36
4,pubsub-talker-py-1,1696979608,1.13,577012.69
4,pubsub-listener-py-1,1696979608,1.08,528102.75
5,pubsub-talker-py-1,1696979671,1.16,574925.74
5,pubsub-listener-py-1,1696979671,1.10,591685.00
6,pubsub-talker-py-1,1696979734,1.10,574925.74
6,pubsub-listener-py-1,1696979734,1.06,591685.00
7,pubsub-talker-py-1,1696979797,1.09,574800.01
7,pubsub-listener-py-1,1696979797,1.04,591559.47
8,pubsub-talker-py-1,1696979860,1.11,576921.05
8,pubsub-listener-py-1,1696979860,1.13,462562.18
9,pubsub-talker-py-1,1696979923,1.15,574925.74
9,pubsub-listener-py-1,1696979923,1.07,526318.21
10,pubsub-talker-py-1,1696979986,1.17,574925.74
10,pubsub-listener-py-1,1696979986,1.12,460897.62
11,pubsub-talker-py-1,1696980049,1.11,576921.05
11,pubsub-listener-py-1,1696980049,1.07,528098.18
12,pubsub-talker-py-1,1696980112,1.19,574925.74
12,pubsub-listener-py-1,1696980112,1.12,526318.21
13,pubsub-talker-py-1,1696980175,1.11,574925.74
13,pubsub-listener-py-1,1696980175,1.05,461023.15
14,pubsub-talker-py-1,1696980238,1.13,574925.74
14,pubsub-listener-py-1,1696980238,1.06,591685.00
15,pubsub-talker-py-1,1696980302,1.06,574925.74
15,pubsub-listener-py-1,1696980302,1.18,526192.68
16,pubsub-talker-py-1,1696980364,1.03,576921.05
16,pubsub-listener-py-1,1696980364,1.16,528098.18
17,pubsub-talker-py-1,1696980427,1.13,574925.74
17,pubsub-listener-py-1,1696980427,1.05,462950.68
18,pubsub-talker-py-1,1696980491,1.07,574925.74
18,pubsub-listener-py-1,1696980491,1.18,461023.15
19,pubsub-talker-py-1,1696980553,1.06,576882.89
19,pubsub-listener-py-1,1696980553,1.21,462562.18
20,pubsub-talker-py-1,1696980616,1.09,576882.89
20,pubsub-listener-py-1,1696980616,1.03,462560.19
21,pubsub-talker-py-1,1696980679,1.25,574925.74
21,pubsub-listener-py-1,1696980679,1.03,461023.15
22,pubsub-talker-py-1,1696980742,1.23,574925.54
22,pubsub-listener-py-1,1696980742,1.06,591557.49
23,pubsub-talker-py-1,1696980805,1.10,576921.05
23,pubsub-listener-py-1,1696980805,1.04,593704.19
24,pubsub-talker-py-1,1696980868,1.22,574925.74
24,pubsub-listener-py-1,1696980868,1.05,460897.62
25,pubsub-talker-py-1,1696980931,1.07,576921.05
25,pubsub-listener-py-1,1696980931,1.03,593706.18
26,pubsub-talker-py-1,1696980994,1.19,576921.05
26,pubsub-listener-py-1,1696980994,1.07,528098.18
27,pubsub-talker-py-1,1696981057,1.19,576921.05
27,pubsub-listener-py-1,1696981057,1.11,528098.18
28,pubsub-talker-py-1,1696981120,1.19,574925.74
28,pubsub-listener-py-1,1696981120,1.12,526192.68
29,pubsub-talker-py-1,1696981183,1.12,576882.89
29,pubsub-listener-py-1,1696981183,1.12,462562.18
30,pubsub-talker-py-1,1696981246,1.12,576882.89
30,pubsub-listener-py-1,1696981246,1.15,593704.19
31,pubsub-talker-py-1,1696981309,0.98,576882.89
31,pubsub-listener-py-1,1696981309,1.30,528096.19
32,pubsub-talker-py-1,1696981372,0.99,576882.89
32,pubsub-listener-py-1,1696981372,1.17,593704.19
33,pubsub-talker-py-1,1696981435,1.06,576882.89
33,pubsub-listener-py-1,1696981435,1.27,462560.19
34,pubsub-talker-py-1,1696981498,1.02,576882.89
34,pubsub-listener-py-1,1696981498,1.21,462562.18
35,pubsub-talker-py-1,1696981561,1.00,576882.89
35,pubsub-listener-py-1,1696981561,1.19,593704.19
36,pubsub-talker-py-1,1696981623,1.04,576882.89
36,pubsub-listener-py-1,1696981623,1.16,593704.19
37,pubsub-talker-py-1,1696981686,1.12,576882.89
37,pubsub-listener-py-1,1696981686,1.26,593712.19
