exec,label,timestamp,cpu,mem
0,pubsub-talker-py-1,1696948660,1.33,576574.55
0,pubsub-listener-py-1,1696948660,1.16,528092.87
1,pubsub-talker-py-1,1696948718,0.96,574706.32
1,pubsub-listener-py-1,1696948718,1.21,526288.39
2,pubsub-talker-py-1,1696948776,1.21,576684.57
2,pubsub-listener-py-1,1696948776,1.21,593696.18
3,pubsub-talker-py-1,1696948834,0.99,576684.57
3,pubsub-listener-py-1,1696948834,1.13,462550.16
4,pubsub-talker-py-1,1696948892,1.00,576617.47
4,pubsub-listener-py-1,1696948892,1.23,528082.77
5,pubsub-talker-py-1,1696948950,0.99,574481.95
5,pubsub-listener-py-1,1696948950,1.23,526257.89
6,pubsub-talker-py-1,1696949008,1.03,576649.81
6,pubsub-listener-py-1,1696949008,1.21,593685.95
7,pubsub-talker-py-1,1696949066,1.05,576649.81
7,pubsub-listener-py-1,1696949066,1.22,462541.95
8,pubsub-talker-py-1,1696949124,1.07,576343.97
8,pubsub-listener-py-1,1696949124,1.21,462532.94
9,pubsub-talker-py-1,1696949182,1.08,576784.27
9,pubsub-listener-py-1,1696949182,1.33,462772.79
10,pubsub-talker-py-1,1696949240,1.03,574632.09
10,pubsub-listener-py-1,1696949240,1.20,591641.49
11,pubsub-talker-py-1,1696949298,1.02,576850.75
11,pubsub-listener-py-1,1696949298,1.21,528088.18
12,pubsub-talker-py-1,1696949356,0.98,576850.75
12,pubsub-listener-py-1,1696949356,1.25,462552.18
13,pubsub-talker-py-1,1696949413,1.11,576850.75
13,pubsub-listener-py-1,1696949413,1.24,462552.18
14,pubsub-talker-py-1,1696949472,1.11,576549.86
14,pubsub-listener-py-1,1696949472,1.27,591619.44
15,pubsub-talker-py-1,1696949529,1.11,576587.76
15,pubsub-listener-py-1,1696949529,1.24,593685.95
16,pubsub-talker-py-1,1696949587,1.19,576649.81
16,pubsub-listener-py-1,1696949587,1.30,528338.93
17,pubsub-talker-py-1,1696949645,1.16,576649.81
17,pubsub-listener-py-1,1696949645,1.15,593685.95
18,pubsub-talker-py-1,1696949703,1.24,574481.95
18,pubsub-listener-py-1,1696949703,1.20,526257.89
19,pubsub-talker-py-1,1696949761,1.17,574481.95
19,pubsub-listener-py-1,1696949761,1.16,591619.25
20,pubsub-talker-py-1,1696949819,1.16,576520.77
20,pubsub-listener-py-1,1696949819,1.14,528075.91
21,pubsub-talker-py-1,1696949877,1.21,576549.86
21,pubsub-listener-py-1,1696949877,1.15,528079.35
22,pubsub-talker-py-1,1696949935,1.19,574481.95
22,pubsub-listener-py-1,1696949935,1.12,591490.89
23,pubsub-talker-py-1,1696949994,1.16,576274.29
23,pubsub-listener-py-1,1696949994,1.08,591573.94
24,pubsub-talker-py-1,1696950051,1.03,576684.57
24,pubsub-listener-py-1,1696950051,1.21,528086.16
25,pubsub-talker-py-1,1696950109,1.12,576684.57
25,pubsub-listener-py-1,1696950109,1.23,528086.16
26,pubsub-talker-py-1,1696950167,1.06,576684.57
26,pubsub-listener-py-1,1696950167,1.13,460987.03
27,pubsub-talker-py-1,1696950225,1.09,576723.15
27,pubsub-listener-py-1,1696950225,1.19,462552.18
28,pubsub-talker-py-1,1696950283,1.12,576850.75
28,pubsub-listener-py-1,1696950283,1.09,528088.18
29,pubsub-talker-py-1,1696950341,1.14,576481.75
29,pubsub-listener-py-1,1696950341,1.09,462539.91
30,pubsub-talker-py-1,1696950399,1.26,576520.77
30,pubsub-listener-py-1,1696950399,1.16,593683.91
31,pubsub-talker-py-1,1696950457,1.18,576481.75
31,pubsub-listener-py-1,1696950457,1.23,460959.08
32,pubsub-talker-py-1,1696950515,1.19,576649.81
32,pubsub-listener-py-1,1696950515,1.15,462541.95
33,pubsub-talker-py-1,1696950573,1.24,576649.81
33,pubsub-listener-py-1,1696950573,1.18,528077.95
34,pubsub-talker-py-1,1696950631,1.28,576520.77
34,pubsub-listener-py-1,1696950631,1.23,593685.95
35,pubsub-talker-py-1,1696950689,1.04,576481.75
35,pubsub-listener-py-1,1696950689,1.18,593683.91
36,pubsub-talker-py-1,1696950747,1.04,574406.04
36,pubsub-listener-py-1,1696950747,1.19,591608.20
37,pubsub-talker-py-1,1696950805,1.24,576549.86
37,pubsub-listener-py-1,1696950805,1.20,460968.47
38,pubsub-talker-py-1,1696950863,1.22,574481.95
38,pubsub-listener-py-1,1696950863,1.15,460839.91
39,pubsub-talker-py-1,1696950921,1.18,576649.81
39,pubsub-listener-py-1,1696950921,1.16,593685.95
40,pubsub-talker-py-1,1696950979,1.26,576513.31
40,pubsub-listener-py-1,1696950979,1.18,593679.00
41,pubsub-talker-py-1,1696951037,0.99,576784.27
41,pubsub-listener-py-1,1696951037,1.20,462548.79
42,pubsub-talker-py-1,1696951095,1.01,576684.57
42,pubsub-listener-py-1,1696951095,1.20,526278.49
43,pubsub-talker-py-1,1696951153,0.96,576684.57
43,pubsub-listener-py-1,1696951153,1.21,591641.69
44,pubsub-talker-py-1,1696951211,0.99,576684.57
44,pubsub-listener-py-1,1696951211,1.18,526278.30
45,pubsub-talker-py-1,1696951269,1.19,574632.09
45,pubsub-listener-py-1,1696951269,1.21,526150.90
46,pubsub-talker-py-1,1696951327,1.25,576413.12
46,pubsub-listener-py-1,1696951327,1.18,464770.62
47,pubsub-talker-py-1,1696951385,1.21,576481.75
47,pubsub-listener-py-1,1696951385,1.20,591608.20
48,pubsub-talker-py-1,1696951443,1.27,576649.81
48,pubsub-listener-py-1,1696951443,1.25,462541.95
49,pubsub-talker-py-1,1696951501,1.24,576649.81
49,pubsub-listener-py-1,1696951501,1.20,462541.95
50,pubsub-talker-py-1,1696951559,1.23,576581.82
50,pubsub-listener-py-1,1696951559,1.18,593682.48
51,pubsub-talker-py-1,1696951617,1.03,576518.58
51,pubsub-listener-py-1,1696951617,1.23,462539.91
52,pubsub-talker-py-1,1696951675,1.03,576649.81
52,pubsub-listener-py-1,1696951675,1.18,528077.95
53,pubsub-talker-py-1,1696951733,1.02,576649.81
53,pubsub-listener-py-1,1696951733,1.20,462541.95
54,pubsub-talker-py-1,1696951791,1.05,576520.77
54,pubsub-listener-py-1,1696951791,1.21,528077.95
55,pubsub-talker-py-1,1696951849,1.05,576481.75
55,pubsub-listener-py-1,1696951849,1.22,462539.91
56,pubsub-talker-py-1,1696951907,1.06,576481.75
56,pubsub-listener-py-1,1696951907,1.25,593683.91
57,pubsub-talker-py-1,1696951965,1.03,574406.04
57,pubsub-listener-py-1,1696951965,1.20,526118.73
58,pubsub-talker-py-1,1696952023,1.05,576481.75
58,pubsub-listener-py-1,1696952023,1.20,528075.91
59,pubsub-talker-py-1,1696952081,1.06,576581.82
59,pubsub-listener-py-1,1696952081,1.21,593682.48
60,pubsub-talker-py-1,1696952139,1.03,576481.75
60,pubsub-listener-py-1,1696952139,1.24,460959.08
61,pubsub-talker-py-1,1696952197,1.05,576481.75
61,pubsub-listener-py-1,1696952197,1.23,591608.20
62,pubsub-talker-py-1,1696952255,1.04,576581.82
62,pubsub-listener-py-1,1696952255,1.25,528072.44
63,pubsub-talker-py-1,1696952313,1.06,576649.81
63,pubsub-listener-py-1,1696952313,1.21,593685.95
64,pubsub-talker-py-1,1696952371,1.10,576481.75
64,pubsub-listener-py-1,1696952371,1.27,528075.91
65,pubsub-talker-py-1,1696952429,1.11,576481.75
65,pubsub-listener-py-1,1696952429,1.23,526247.77
66,pubsub-talker-py-1,1696952487,1.04,576649.81
66,pubsub-listener-py-1,1696952487,1.23,593685.95
67,pubsub-talker-py-1,1696952545,1.12,576581.82
67,pubsub-listener-py-1,1696952545,1.26,462538.48
68,pubsub-talker-py-1,1696952603,1.07,576481.75
68,pubsub-listener-py-1,1696952603,1.22,462405.51
69,pubsub-talker-py-1,1696952661,1.09,576481.75
69,pubsub-listener-py-1,1696952661,1.22,526247.77
70,pubsub-talker-py-1,1696952719,1.12,576481.75
70,pubsub-listener-py-1,1696952719,1.23,593683.91
71,pubsub-talker-py-1,1696952777,1.08,574406.04
71,pubsub-listener-py-1,1696952777,1.22,591442.17
72,pubsub-talker-py-1,1696952835,1.07,576581.82
72,pubsub-listener-py-1,1696952835,1.20,462538.48
73,pubsub-talker-py-1,1696952893,1.05,576481.75
73,pubsub-listener-py-1,1696952893,1.24,593683.91
74,pubsub-talker-py-1,1696952951,1.07,576481.75
74,pubsub-listener-py-1,1696952951,1.30,462539.91
75,pubsub-talker-py-1,1696953009,1.05,576481.75
75,pubsub-listener-py-1,1696953009,1.25,526247.77
76,pubsub-talker-py-1,1696953067,1.06,576481.75
76,pubsub-listener-py-1,1696953067,1.23,591608.20
77,pubsub-talker-py-1,1696953125,1.05,576581.82
77,pubsub-listener-py-1,1696953125,1.23,528072.44
78,pubsub-talker-py-1,1696953183,1.10,576481.75
78,pubsub-listener-py-1,1696953183,1.28,528075.91
79,pubsub-talker-py-1,1696953241,1.11,576481.75
79,pubsub-listener-py-1,1696953241,1.26,528075.91
80,pubsub-talker-py-1,1696953299,1.09,576481.75
80,pubsub-listener-py-1,1696953299,1.23,593683.91
81,pubsub-talker-py-1,1696953357,1.11,576481.75
81,pubsub-listener-py-1,1696953357,1.20,526247.58
82,pubsub-talker-py-1,1696953415,1.08,576481.75
82,pubsub-listener-py-1,1696953415,1.30,591608.20
83,pubsub-talker-py-1,1696953473,1.06,576481.75
83,pubsub-listener-py-1,1696953473,1.24,528075.91
84,pubsub-talker-py-1,1696953531,1.06,576481.75
84,pubsub-listener-py-1,1696953531,1.21,593683.91
85,pubsub-talker-py-1,1696953589,1.07,576481.75
85,pubsub-listener-py-1,1696953589,1.29,462539.91
86,pubsub-talker-py-1,1696953647,1.15,576481.75
86,pubsub-listener-py-1,1696953647,1.30,526247.77
87,pubsub-talker-py-1,1696953705,1.08,576581.82
87,pubsub-listener-py-1,1696953705,1.24,593719.61
88,pubsub-talker-py-1,1696953763,1.05,576413.12
88,pubsub-listener-py-1,1696953763,1.26,462536.44
89,pubsub-talker-py-1,1696953821,1.10,576481.75
89,pubsub-listener-py-1,1696953821,1.28,591608.20
90,pubsub-talker-py-1,1696953879,1.06,576481.75
90,pubsub-listener-py-1,1696953879,1.22,591608.20
91,pubsub-talker-py-1,1696953937,1.08,576581.82
91,pubsub-listener-py-1,1696953937,1.23,593719.61
92,pubsub-talker-py-1,1696953995,1.08,578616.21
92,pubsub-listener-py-1,1696953995,1.22,593719.61
93,pubsub-talker-py-1,1696954053,1.12,576581.82
93,pubsub-listener-py-1,1696954053,1.23,528072.44
94,pubsub-talker-py-1,1696954111,1.10,576481.75
94,pubsub-listener-py-1,1696954111,1.23,460959.08
95,pubsub-talker-py-1,1696954169,1.09,576481.75
95,pubsub-listener-py-1,1696954169,1.23,460959.08
96,pubsub-talker-py-1,1696954227,1.12,576581.82
96,pubsub-listener-py-1,1696954227,1.25,593682.48
97,pubsub-talker-py-1,1696954284,1.14,576383.29
97,pubsub-listener-py-1,1696954284,1.23,593676.94
98,pubsub-talker-py-1,1696954342,1.13,576413.12
98,pubsub-listener-py-1,1696954342,1.27,528072.44
99,pubsub-talker-py-1,1696954401,1.13,574406.04
99,pubsub-listener-py-1,1696954401,1.21,526247.38
100,pubsub-talker-py-10,1696954464,1.47,577604.17
100,pubsub-listener-py-10,1696954464,1.90,595898.32
101,pubsub-talker-py-10,1696954522,1.49,579835.76
101,pubsub-listener-py-10,1696954522,1.95,598196.78
102,pubsub-talker-py-10,1696954581,1.59,578305.68
102,pubsub-listener-py-10,1696954581,1.66,596180.56
103,pubsub-talker-py-10,1696954639,1.62,580448.85
103,pubsub-listener-py-10,1696954639,2.13,598721.34
104,pubsub-talker-py-10,1696954697,1.49,581407.97
104,pubsub-listener-py-10,1696954697,1.81,596486.20
105,pubsub-talker-py-10,1696954755,1.67,579308.49
105,pubsub-listener-py-10,1696954755,1.87,596436.23
106,pubsub-talker-py-10,1696954765,7.71,577162.67
106,pubsub-listener-py-10,1696954765,12.17,572357.00
107,pubsub-talker-py-10,1696954823,1.95,581546.03
107,pubsub-listener-py-10,1696954823,1.58,596467.17
108,pubsub-talker-py-10,1696954882,1.62,578390.14
108,pubsub-listener-py-10,1696954882,1.80,596261.61
109,pubsub-talker-py-10,1696954940,1.55,577946.86
109,pubsub-listener-py-10,1696954940,1.50,596197.06
110,pubsub-talker-py-10,1696954998,1.59,578387.89
110,pubsub-listener-py-10,1696954998,2.35,596252.93
111,pubsub-talker-py-10,1696955057,1.53,580479.39
111,pubsub-listener-py-10,1696955057,1.95,596635.65
112,pubsub-talker-py-10,1696955115,1.44,580906.65
112,pubsub-listener-py-10,1696955115,1.84,596111.47
113,pubsub-talker-py-10,1696955124,10.11,577194.67
113,pubsub-listener-py-10,1696955124,11.75,577863.33
114,pubsub-talker-py-10,1696955183,1.63,579202.34
114,pubsub-listener-py-10,1696955183,2.11,595861.11
115,pubsub-talker-py-10,1696955241,1.44,580409.50
115,pubsub-listener-py-10,1696955241,2.11,596634.38
116,pubsub-talker-py-10,1696955299,1.63,579909.90
116,pubsub-listener-py-10,1696955299,2.17,595861.67
117,pubsub-talker-py-10,1696955358,1.59,578138.90
117,pubsub-listener-py-10,1696955358,1.64,596505.05
118,pubsub-talker-py-10,1696955367,6.41,599089.33
118,pubsub-listener-py-10,1696955367,7.12,577791.00
119,pubsub-talker-py-10,1696955426,2.28,579273.58
119,pubsub-listener-py-10,1696955426,1.84,596458.39
