exec,label,timestamp,cpu,mem
744,pubsub-talker-py-1,1697204163,1.50,576269.74
744,pubsub-listener-py-1,1697204163,1.37,460837.88
745,pubsub-talker-py-1,1697204226,1.30,576581.82
745,pubsub-listener-py-1,1697204226,1.27,528072.44
746,pubsub-talker-py-1,1697204289,1.21,576481.75
746,pubsub-listener-py-1,1697204289,1.19,591608.20
747,pubsub-talker-py-1,1697204352,1.17,576481.75
747,pubsub-listener-py-1,1697204352,1.16,526247.77
748,pubsub-talker-py-1,1697204415,1.16,576481.75
748,pubsub-listener-py-1,1697204415,1.17,460959.08
749,pubsub-talker-py-1,1697204478,1.16,576481.75
749,pubsub-listener-py-1,1697204478,1.10,591608.20
750,pubsub-talker-py-1,1697204541,1.16,578665.39
750,pubsub-listener-py-1,1697204541,1.08,528111.61
751,pubsub-talker-py-1,1697204604,1.16,576581.82
751,pubsub-listener-py-1,1697204604,1.17,593682.48
752,pubsub-talker-py-1,1697204667,1.23,576481.75
752,pubsub-listener-py-1,1697204667,1.14,526247.58
753,pubsub-talker-py-1,1697204730,1.14,576481.75
753,pubsub-listener-py-1,1697204730,1.15,460958.88
754,pubsub-talker-py-1,1697204793,1.19,576519.53
754,pubsub-listener-py-1,1697204793,1.15,593680.44
755,pubsub-talker-py-1,1697204856,1.15,576481.75
755,pubsub-listener-py-1,1697204856,1.13,591608.00
756,pubsub-talker-py-1,1697204919,1.11,576481.75
756,pubsub-listener-py-1,1697204919,1.28,526247.77
757,pubsub-talker-py-1,1697204982,1.12,576581.82
757,pubsub-listener-py-1,1697204982,1.21,528074.48
758,pubsub-talker-py-1,1697205045,1.13,576481.75
758,pubsub-listener-py-1,1697205045,1.24,460958.88
759,pubsub-talker-py-1,1697205108,1.09,576481.75
759,pubsub-listener-py-1,1697205108,1.34,591608.00
760,pubsub-talker-py-1,1697205171,1.12,576481.75
760,pubsub-listener-py-1,1697205171,1.25,460959.08
761,pubsub-talker-py-1,1697205234,1.06,576481.75
761,pubsub-listener-py-1,1697205234,1.22,526118.73
