exec,label,timestamp,cpu,mem
0,pub_cpp_5,1696866220,0.24,487705.32
1,pub_cpp_5,1696866272,0.21,551311.92
2,pub_cpp_5,1696866325,0.26,551425.81
3,pub_cpp_5,1696866377,0.24,487580.92
4,pub_cpp_5,1696866430,0.21,488841.13
5,pub_cpp_5,1696866482,0.22,487122.10
6,pub_cpp_5,1696866535,0.24,552617.69
7,pub_cpp_5,1696866587,0.23,489917.63
8,pub_cpp_5,1696866640,0.24,489979.15
9,pub_cpp_5,1696866692,0.29,489955.63
0,pub_cpp_10,1696866868,0.41,555735.75
1,pub_cpp_10,1696866920,0.42,555170.45
2,pub_cpp_10,1696866973,0.39,553841.56
3,pub_cpp_10,1696867025,0.40,555479.16
4,pub_cpp_10,1696867078,0.41,555514.89
5,pub_cpp_10,1696867131,0.42,555287.85
6,pub_cpp_10,1696867183,0.44,553868.75
7,pub_cpp_10,1696867236,0.39,554091.35
8,pub_cpp_10,1696867289,0.43,553803.62
9,pub_cpp_10,1696867341,0.41,554091.35
0,pub_cpp_15,1696867555,0.64,558504.77
1,pub_cpp_15,1696867607,0.50,560003.70
2,pub_cpp_15,1696867660,0.70,558260.49
3,pub_cpp_15,1696867713,0.72,559891.96
4,pub_cpp_15,1696867765,0.67,557539.57
5,pub_cpp_15,1696867818,0.74,556636.90
6,pub_cpp_15,1696867871,0.51,556497.75
7,pub_cpp_15,1696867924,0.64,557020.64
8,pub_cpp_15,1696867976,0.71,558078.95
9,pub_cpp_15,1696868029,0.74,556666.01
0,pub_cpp_1,1696868131,0.17,485239.99
1,pub_cpp_1,1696868183,0.15,486481.28
2,pub_cpp_1,1696868235,0.20,421137.15
3,pub_cpp_1,1696868288,0.14,484989.17
4,pub_cpp_1,1696868340,0.16,550393.36
5,pub_cpp_1,1696868393,0.23,486416.75
6,pub_cpp_1,1696868445,0.20,549011.06
7,pub_cpp_1,1696868497,0.18,548692.41
8,pub_cpp_1,1696868550,0.33,486078.30
9,pub_cpp_1,1696868602,0.20,486079.07
0,pub_cpp_20,1696870107,2.79,558184.33
1,pub_cpp_20,1696870163,1.03,562477.91
2,pub_cpp_20,1696870215,0.79,558184.33
3,pub_cpp_20,1696870268,0.73,559587.51
4,pub_cpp_20,1696870321,0.71,559587.51
5,pub_cpp_20,1696870324,1.42,559587.51
6,pub_cpp_20,1696870379,1.25,574344.52
7,pub_cpp_20,1696870382,2.33,514344.52
8,pub_cpp_20,1696870435,1.71,583454.29
9,pub_cpp_20,1696870438,2.90,533454.29
0,pub_cpp_25,1696870556,3.08,583454.29
1,pub_cpp_25,1696870610,2.34,525331.57
2,pub_cpp_25,1696870613,2.00,559587.51
3,pub_cpp_25,1696870666,2.20,568655.84
4,pub_cpp_25,1696870719,2.00,559587.51
5,pub_cpp_25,1696870723,2.15,559587.51
6,pub_cpp_25,1696870776,2.35,533009.01
7,pub_cpp_25,1696870779,1.95,562477.91
8,pub_cpp_25,1696870832,2.08,538237.45
9,pub_cpp_25,1696870836,2.54,574344.52
0,pub_cpp_5,1696866220,0.24,487705.32
1,pub_cpp_5,1696866272,0.21,551311.92
2,pub_cpp_5,1696866325,0.26,551425.81
3,pub_cpp_5,1696866377,0.24,487580.92
4,pub_cpp_5,1696866430,0.21,488841.13
5,pub_cpp_5,1696866482,0.22,487122.10
6,pub_cpp_5,1696866535,0.24,552617.69
7,pub_cpp_5,1696866587,0.23,489917.63
8,pub_cpp_5,1696866640,0.24,489979.15
9,pub_cpp_5,1696866692,0.29,489955.63
0,pub_cpp_10,1696866868,0.41,555735.75
1,pub_cpp_10,1696866920,0.42,555170.45
2,pub_cpp_10,1696866973,0.39,553841.56
3,pub_cpp_10,1696867025,0.40,555479.16
4,pub_cpp_10,1696867078,0.41,555514.89
5,pub_cpp_10,1696867131,0.42,555287.85
6,pub_cpp_10,1696867183,0.44,553868.75
7,pub_cpp_10,1696867236,0.39,554091.35
8,pub_cpp_10,1696867289,0.43,553803.62
9,pub_cpp_10,1696867341,0.41,554091.35
0,pub_cpp_15,1696867555,0.64,558504.77
1,pub_cpp_15,1696867607,0.50,560003.70
2,pub_cpp_15,1696867660,0.70,558260.49
3,pub_cpp_15,1696867713,0.72,559891.96
4,pub_cpp_15,1696867765,0.67,557539.57
5,pub_cpp_15,1696867818,0.74,556636.90
6,pub_cpp_15,1696867871,0.51,556497.75
7,pub_cpp_15,1696867924,0.64,557020.64
8,pub_cpp_15,1696867976,0.71,558078.95
9,pub_cpp_15,1696868029,0.74,556666.01
0,pub_cpp_1,1696868131,0.17,485239.99
1,pub_cpp_1,1696868183,0.15,486481.28
2,pub_cpp_1,1696868235,0.20,421137.15
3,pub_cpp_1,1696868288,0.14,484989.17
4,pub_cpp_1,1696868340,0.16,550393.36
5,pub_cpp_1,1696868393,0.23,486416.75
6,pub_cpp_1,1696868445,0.20,549011.06
7,pub_cpp_1,1696868497,0.18,548692.41
8,pub_cpp_1,1696868550,0.33,486078.30
9,pub_cpp_1,1696868602,0.20,486079.07
1,pub_cpp_20,1696870163,1.03,512477.91
2,pub_cpp_20,1696870215,1.42,558184.33
3,pub_cpp_20,1696870268,1.42,559587.51
6,pub_cpp_20,1696870379,1.25,564344.52
8,pub_cpp_20,1696870435,1.71,553454.29
0,pub_py_5,1696871736,1.20,514490.43
1,pub_py_5,1696871789,1.19,514771.39
2,pub_py_5,1696871842,1.30,515869.49
3,pub_py_5,1696871895,1.33,579444.06
4,pub_py_5,1696871948,1.28,577977.58
0,pub_py_10,1696872058,1.41,578555.66
1,pub_py_10,1696872111,1.46,580684.30
2,pub_py_10,1696872164,1.44,580665.12
3,pub_py_10,1696872217,1.39,580506.58
4,pub_py_10,1696872271,1.29,580584.15
0,pub_py_25,1696872869,1.89,587360.52
1,pub_py_25,1696872922,1.88,587127.74
2,pub_py_25,1696872975,1.93,587127.44
3,pub_py_25,1696873028,1.97,587129.42
4,pub_py_25,1696873081,1.95,586931.92
0,pub_py_15,1696873187,5.11,602284.44
1,pub_py_15,1696873240,2.35,537091.97
2,pub_py_15,1696873293,1.29,581926.74
3,pub_py_15,1696873346,1.25,585340.16
4,pub_py_15,1696873399,1.33,583533.16
0,pub_py_30,1696873492,3.13,591536.07
1,pub_py_30,1696873545,3.11,591412.19
2,pub_py_30,1696873598,3.52,590910.61
3,pub_py_30,1696873651,3.14,590522.47
4,pub_py_30,1696873704,3.98,590272.51
0,pub_py_40,1696873807,6.04,595244.74
1,pub_py_40,1696873860,4.30,597243.02
2,pub_py_40,1696873913,5.47,596112.04
3,pub_py_40,1696873967,6.28,595900.83
4,pub_py_40,1696874020,5.66,593308.67
0,pub_py_20,1696874123,1.67,588053.35
1,pub_py_20,1696874176,1.74,576235.59
2,pub_py_20,1696874229,1.94,587887.98
3,pub_py_20,1696874282,1.91,586062.75
4,pub_py_20,1696874335,2.45,584338.34
0,pub_cpp_30,1696874459,4.23,566133.26
1,pub_cpp_30,1696874512,3.11,562174.75
2,pub_cpp_30,1696874564,3.13,568421.48
3,pub_cpp_30,1696874616,5.33,572290.64
5,pub_cpp_30,1696874721,6.41,569678.49
1,pub_cpp_40,1696874856,9.85,584773.17
2,pub_cpp_40,1696874909,6.60,562508.39
3,pub_cpp_40,1696874962,7.60,570654.17
4,pub_cpp_40,1696875015,5.60,573945.28
0,pub_cpp_40,1696875280,4.07,558180.80
0,pub_py_1,1696871736,0.80,514490.43
1,pub_py_1,1696871789,0.79,514771.39
2,pub_py_1,1696871842,1.00,495869.49
3,pub_py_1,1696871895,1.03,489444.06
4,pub_py_1,1696871948,0.90,507977.58
