exec,label,timestamp,cpu,mem
1,teleop-movefb-py-1,1697116391,109.78,614121.33
2,teleop-turtlesim_node-py-1,1697116391,126.62,555098.15
3,teleop-movefb-py-1,1697116615,110.11,613883.02
4,teleop-turtlesim_node-py-1,1697116615,124.80,488974.96
5,teleop-movefb-py-1,1697116838,109.75,614933.45
6,teleop-turtlesim_node-py-1,1697116838,125.47,620613.58
7,teleop-movefb-py-1,1697117062,111.11,614105.93
8,teleop-turtlesim_node-py-1,1697117062,124.81,619898.17
9,teleop-movefb-py-1,1697117285,108.59,614227.21
10,teleop-turtlesim_node-py-1,1697117285,126.27,619914.17
11,teleop-movefb-py-1,1697117509,110.30,614152.35
12,teleop-turtlesim_node-py-1,1697117509,124.42,489032.23
13,teleop-movefb-py-1,1697117732,109.08,614051.51
14,teleop-turtlesim_node-py-1,1697117732,126.09,555100.31
15,teleop-movefb-py-1,1697117956,110.11,614234.65
16,teleop-turtlesim_node-py-1,1697117956,123.87,554540.77
17,teleop-movefb-py-1,1697118179,110.95,614845.48
18,teleop-turtlesim_node-py-1,1697118179,126.00,489566.64
19,teleop-movefb-py-1,1697118403,109.60,614817.90
20,teleop-turtlesim_node-py-1,1697118403,124.03,489563.05
21,teleop-movefb-py-1,1697118626,108.54,614831.72
22,teleop-turtlesim_node-py-1,1697118626,126.29,489567.49
23,teleop-movefb-py-1,1697118850,109.35,614291.00
24,teleop-turtlesim_node-py-1,1697118850,124.52,489012.19
25,teleop-movefb-py-1,1697119073,107.41,614136.65
26,teleop-turtlesim_node-py-1,1697119073,125.17,619902.19
27,teleop-movefb-py-1,1697119297,110.28,614838.61
28,teleop-turtlesim_node-py-1,1697119297,127.32,555102.43
29,teleop-movefb-py-1,1697119520,108.78,614946.76
30,teleop-turtlesim_node-py-1,1697119520,125.16,555102.00
31,teleop-movefb-py-1,1697119744,109.48,614347.51
32,teleop-turtlesim_node-py-1,1697119744,124.48,619987.35
33,teleop-movefb-py-1,1697119968,110.86,614201.56
34,teleop-turtlesim_node-py-1,1697119968,126.31,489002.13
35,teleop-movefb-py-1,1697120191,109.01,614817.90
36,teleop-turtlesim_node-py-1,1697120191,126.68,555097.86
37,teleop-movefb-py-1,1697120415,109.83,614276.42
38,teleop-turtlesim_node-py-1,1697120415,124.96,619911.10
39,teleop-movefb-py-1,1697120638,109.03,614234.65
40,teleop-turtlesim_node-py-1,1697120638,126.79,620503.58
41,teleop-movefb-py-10,1697120872,64.10,601388.23
42,teleop-turtlesim_node-py-10,1697120872,65.11,622748.29
43,teleop-movefb-py-10,1697121096,63.75,605695.99
44,teleop-turtlesim_node-py-10,1697121096,67.41,626005.64
45,teleop-movefb-py-10,1697121321,64.23,603775.84
46,teleop-turtlesim_node-py-10,1697121321,62.74,623482.53
47,teleop-movefb-py-10,1697121545,64.01,601595.37
48,teleop-turtlesim_node-py-10,1697121545,65.33,622169.38
49,teleop-movefb-py-10,1697121769,63.44,601335.12
50,teleop-turtlesim_node-py-10,1697121769,64.54,622324.61
51,teleop-movefb-py-10,1697121993,61.71,602268.05
52,teleop-turtlesim_node-py-10,1697121993,65.42,623299.89
53,teleop-movefb-py-10,1697122217,64.81,605456.92
54,teleop-turtlesim_node-py-10,1697122217,66.58,625232.38
55,teleop-movefb-py-10,1697122441,63.39,603536.76
56,teleop-turtlesim_node-py-10,1697122441,63.29,623771.71
57,teleop-movefb-py-10,1697122665,65.07,601857.29
58,teleop-turtlesim_node-py-10,1697122665,65.05,623037.38
59,teleop-movefb-py-10,1697122890,62.93,603020.78
60,teleop-turtlesim_node-py-10,1697122890,65.40,623564.21
61,teleop-movefb-py-10,1697123114,62.46,604908.63
62,teleop-turtlesim_node-py-10,1697123114,63.58,623557.72
63,teleop-movefb-py-10,1697123338,64.59,602291.43
64,teleop-turtlesim_node-py-10,1697123338,68.75,623581.53
65,teleop-movefb-py-10,1697123562,63.86,602507.49
66,teleop-turtlesim_node-py-10,1697123562,64.26,623170.12
67,teleop-movefb-py-10,1697123786,60.75,603369.27
68,teleop-turtlesim_node-py-10,1697123786,66.37,623447.86
69,teleop-movefb-py-10,1697124010,64.22,603769.89
70,teleop-turtlesim_node-py-10,1697124010,65.66,625940.13
71,teleop-movefb-py-10,1697124235,64.01,602283.44
72,teleop-turtlesim_node-py-10,1697124235,66.22,623426.98
73,teleop-movefb-py-10,1697124459,63.20,603334.35
74,teleop-turtlesim_node-py-10,1697124459,65.49,623650.86
75,teleop-movefb-py-10,1697124683,63.12,601414.29
76,teleop-turtlesim_node-py-10,1697124683,64.02,623204.58
77,teleop-movefb-py-10,1697124907,64.35,604322.84
78,teleop-turtlesim_node-py-10,1697124907,62.85,623355.96
79,teleop-movefb-py-10,1697125132,62.97,601448.66
80,teleop-turtlesim_node-py-10,1697125132,64.29,622186.57
81,teleop-movefb-py-20,1697125367,37.12,581507.36
82,teleop-turtlesim_node-py-20,1697125367,35.97,0.00
83,teleop-movefb-py-20,1697125592,37.47,583663.28
84,teleop-turtlesim_node-py-20,1697125592,36.70,0.00
85,teleop-movefb-py-20,1697125817,35.93,587820.45
86,teleop-turtlesim_node-py-20,1697125817,35.16,0.00
87,teleop-movefb-py-20,1697126041,37.67,587637.39
88,teleop-turtlesim_node-py-20,1697126041,35.75,0.00
89,teleop-movefb-py-20,1697126266,36.30,576131.85
90,teleop-turtlesim_node-py-20,1697126266,36.82,0.00
91,teleop-movefb-py-20,1697126491,36.03,580619.71
92,teleop-turtlesim_node-py-20,1697126491,36.42,0.00
93,teleop-movefb-py-20,1697126716,37.07,584663.11
94,teleop-turtlesim_node-py-20,1697126716,34.56,0.00
95,teleop-movefb-py-20,1697126941,38.61,581042.61
96,teleop-turtlesim_node-py-20,1697126941,36.42,0.00
97,teleop-movefb-py-20,1697127166,35.14,583208.15
98,teleop-turtlesim_node-py-20,1697127166,34.65,0.00
99,teleop-movefb-py-20,1697127390,37.29,591805.21
100,teleop-turtlesim_node-py-20,1697127390,33.36,0.00
101,teleop-movefb-py-20,1697127615,38.38,583667.34
102,teleop-turtlesim_node-py-20,1697127615,37.29,0.00
103,teleop-movefb-py-20,1697127840,37.96,578801.62
104,teleop-turtlesim_node-py-20,1697127840,38.12,0.00
105,teleop-movefb-py-20,1697128065,39.51,578084.41
106,teleop-turtlesim_node-py-20,1697128065,34.81,0.00
107,teleop-movefb-py-20,1697128290,38.08,581547.42
108,teleop-turtlesim_node-py-20,1697128290,36.45,0.00
109,teleop-movefb-py-20,1697128515,38.18,582992.68
110,teleop-turtlesim_node-py-20,1697128515,34.35,0.00
111,teleop-movefb-py-20,1697128740,37.72,579588.43
112,teleop-turtlesim_node-py-20,1697128740,34.56,0.00
113,teleop-movefb-py-20,1697128965,34.26,574773.93
114,teleop-turtlesim_node-py-20,1697128965,35.56,0.00
115,teleop-movefb-py-20,1697129191,34.96,588368.38
116,teleop-turtlesim_node-py-20,1697129191,37.93,0.00
117,teleop-movefb-py-20,1697129416,39.84,585000.60
118,teleop-turtlesim_node-py-20,1697129416,36.57,0.00
119,teleop-movefb-py-20,1697129641,35.54,584564.08
120,teleop-turtlesim_node-py-20,1697129641,35.34,0.00
121,teleop-movefb-py-30,1697129877,25.88,558286.23
122,teleop-turtlesim_node-py-30,1697129877,23.55,0.00
123,teleop-movefb-py-30,1697130103,26.64,559718.32
124,teleop-turtlesim_node-py-30,1697130103,26.53,0.00
125,teleop-movefb-py-30,1697130329,24.97,538558.65
126,teleop-turtlesim_node-py-30,1697130329,23.32,0.00
127,teleop-movefb-py-30,1697130555,23.28,480546.42
128,teleop-turtlesim_node-py-30,1697130555,22.30,0.00
129,teleop-movefb-py-30,1697130781,22.09,466928.12
130,teleop-turtlesim_node-py-30,1697130781,22.52,0.00
131,teleop-movefb-py-30,1697131007,25.85,546571.19
132,teleop-turtlesim_node-py-30,1697131007,22.44,0.00
133,teleop-movefb-py-30,1697131233,27.12,551197.44
134,teleop-turtlesim_node-py-30,1697131233,23.78,0.00
135,teleop-movefb-py-30,1697131459,25.70,487321.78
136,teleop-turtlesim_node-py-30,1697131459,22.43,0.00
137,teleop-movefb-py-30,1697131685,26.07,549044.95
138,teleop-turtlesim_node-py-30,1697131685,23.56,0.00
139,teleop-movefb-py-30,1697131910,27.58,537903.55
140,teleop-turtlesim_node-py-30,1697131910,23.82,0.00
141,teleop-movefb-py-30,1697132136,26.69,548028.21
142,teleop-turtlesim_node-py-30,1697132136,22.81,0.00
143,teleop-movefb-py-30,1697132362,27.62,558419.48
144,teleop-turtlesim_node-py-30,1697132362,22.21,0.00
145,teleop-movefb-py-30,1697132588,27.61,544752.44
146,teleop-turtlesim_node-py-30,1697132588,25.58,0.00
147,teleop-movefb-py-30,1697132813,25.88,557483.14
148,teleop-turtlesim_node-py-30,1697132813,24.74,0.00
149,teleop-movefb-py-30,1697133039,24.47,554495.65
150,teleop-turtlesim_node-py-30,1697133039,21.94,0.00
151,teleop-movefb-py-30,1697133265,33.95,587819.56
152,teleop-turtlesim_node-py-30,1697133265,33.42,0.00
153,teleop-movefb-py-30,1697133491,27.06,551338.15
154,teleop-turtlesim_node-py-30,1697133491,22.05,0.00
155,teleop-movefb-py-30,1697133716,24.73,545325.37
156,teleop-turtlesim_node-py-30,1697133716,23.28,0.00
157,teleop-movefb-py-30,1697133942,29.00,543980.06
158,teleop-turtlesim_node-py-30,1697133942,20.92,0.00
159,teleop-movefb-py-30,1697134168,26.40,559274.60
