label,timestamp,duration,pkg,dram,socket
pub_cpp,1696540893.4479957,50787976.773,188885808.0,46252506.0,0
sub_cpp,1696540893.4479961,52285492.897,194663198.0,47636414.0,0
pub_cpp,1696540946.633493,50779909.405,186650828.0,45895329.0,0
sub_cpp,1696540946.6413004,52633529.72,193655754.0,47619568.0,0
pub_cpp,1696540999.83411,50802732.441,157694054.0,40321796.0,0
sub_cpp,1696540999.838142,52295493.964,163383737.0,41764236.0,0
pub_cpp,1696541053.069953,50781230.8,153868564.0,40009114.0,0
sub_cpp,1696541053.0717018,52310774.744,159928668.0,41455156.0,0
pub_cpp,1696541106.291904,50798425.741,157039027.0,40252521.0,0
sub_cpp,1696541106.291904,52300452.329,162968394.0,41701431.0,0
pub_cpp,1696541159.5120451,50805723.995,156173551.0,40432392.0,0
sub_cpp,1696541159.51962,52291741.889,161949414.0,41871048.0,0
pub_cpp,1696541212.7426543,50783608.045,155127106.0,40228596.0,0
sub_cpp,1696541212.7486348,52288014.298,161172012.0,41670548.0,0
pub_cpp,1696541265.9518654,50779691.242,161785230.0,38126551.0,0
sub_cpp,1696541265.95462,52301098.61,166591859.0,38900657.0,0
pub_cpp,1696541319.1952922,50779528.614,127193644.0,19297741.0,0
sub_cpp,1696541319.1941447,52305657.457,132423428.0,20089182.0,0
pub_cpp,1696541372.4078403,50801379.784,125313034.0,18983472.0,0
sub_cpp,1696541372.4153843,52306442.311,129953464.0,19771372.0,0
pub_cpp,1696541425.6513388,51173044.362,129028234.0,19473644.0,0
sub_cpp,1696541425.664637,52659231.937,133640039.0,20234506.0,0
pub_cpp,1696541478.8839364,50797288.525,125786238.0,19137586.0,0
sub_cpp,1696541478.894181,52313154.087,130539888.0,19904246.0,0
pub_cpp,1696541532.158115,50796966.023,125855391.0,19004162.0,0
sub_cpp,1696541532.1513638,52298053.086,130826081.0,19803111.0,0
pub_cpp,1696541585.351671,50794772.451,126662640.0,19217236.0,0
sub_cpp,1696541585.3516648,52308850.812,131497527.0,20004465.0,0
pub_cpp,1696541638.6226287,50795237.827,124812608.0,19197949.0,0
sub_cpp,1696541638.6227229,52296775.14,129232213.0,19951365.0,0
pub_cpp,1696541691.855023,50796102.871,125628096.0,19175122.0,0
sub_cpp,1696541691.8502965,52309288.069,130459261.0,19948191.0,0
pub_cpp,1696541745.0954034,50813056.944,127771706.0,19476147.0,0
sub_cpp,1696541745.0956194,52302824.141,133520288.0,20357248.0,0
pub_cpp,1696541798.324644,50817160.622,124959091.0,18885572.0,0
sub_cpp,1696541798.3246412,52307714.232,129557468.0,19645579.0,0
pub_cpp,1696541851.5897603,50815505.508,125458968.0,19242505.0,0
sub_cpp,1696541851.5848749,52318217.356,130193820.0,20024118.0,0
pub_cpp,1696541904.8214602,50801817.416,125775313.0,18816786.0,0
sub_cpp,1696541904.8230016,52298005.876,130364290.0,19574657.0,0
pub_cpp,1696541958.0665646,50807752.077,126319684.0,19271069.0,0
sub_cpp,1696541958.0602639,52310237.001,131107575.0,20053538.0,0
pub_cpp,1696542011.296739,51172757.113,129114660.0,19351696.0,0
sub_cpp,1696542011.2967398,52664201.036,134734763.0,20220590.0,0
pub_cpp,1696542064.5205724,50798574.177,124781418.0,19048535.0,0
sub_cpp,1696542064.515283,52308474.071,129437656.0,19823192.0,0
