ID,Name,FullName,URL,Description,Size(KB),IsFork,Created,Updated,Language,Forks,Topics,Mined,Selected,Manual Check,Reproducible/Simulation,Launch + Config (linked),Notes,Complete:,20
R1,cyberdog_ros2,MiRoboticsLab/cyberdog_ros2,https://github.com/MiRoboticsLab/cyberdog_ros2,ROS 2 packages for CyberDog,566,FALSE,2021-09-15T12:06:21Z,2024-07-05T09:57:09Z,C++,176,"['cyberdog', 'robotics', 'ros', 'ros2']",yes,yes,yes,no,yes,,Complete (Python):,14
R2,ros2_control_demos,ros-controls/ros2_control_demos,https://github.com/ros-controls/ros2_control_demos,This repository aims at providing examples to illustrate ros2_control and ros2_controllers,3801,FALSE,2020-04-22T21:14:30Z,2024-07-04T12:03:16Z,Python,173,"['robotics', 'ros', 'ros2-control', 'ros2-controllers', 'rrbot']",yes,yes,yes,no,yes,,Complete (C++):,6
R3,ros2_cookbook,mikeferguson/ros2_cookbook,https://github.com/mikeferguson/ros2_cookbook,Code snippets for ROS2,1441,FALSE,2020-08-17T12:12:14Z,2024-06-27T15:44:20Z,Shell,88,"['robotics', 'ros2']",yes,no,no,,,,,
R4,vscode_ros2_workspace,athackst/vscode_ros2_workspace,https://github.com/athackst/vscode_ros2_workspace,A template for using VSCode as an IDE for ROS2 development.,1108,FALSE,2020-08-11T01:15:04Z,2024-07-04T02:12:30Z,Python,167,"['docker', 'ros2', 'vscode', 'workspace']",yes,no,no,,,,,
R5,rslidar_sdk,RoboSense-LiDAR/rslidar_sdk,https://github.com/RoboSense-LiDAR/rslidar_sdk,RoboSense LiDAR SDK for ROS & ROS2,1270,FALSE,2020-06-10T06:10:22Z,2024-07-03T12:58:48Z,C++,212,[],yes,yes,yes,no,yes,,,
R6,webots_ros2,cyberbotics/webots_ros2,https://github.com/cyberbotics/webots_ros2,Webots ROS 2 packages,56959,FALSE,2019-08-07T08:25:55Z,2024-07-05T13:28:21Z,C,141,"['examples', 'localization', 'motion-planning', 'navigation', 'robot', 'robotics', 'ros', 'ros2', 'simulation', 'slam', 'webots', 'webots-ros2']",yes,yes,yes,no,yes,,,
R7,lidarslam_ros2,rsasaki0109/lidarslam_ros2,https://github.com/rsasaki0109/lidarslam_ros2,ROS 2 package of 3D lidar slam using ndt/gicp registration and pose-optimization,3515,FALSE,2020-01-29T12:57:45Z,2024-07-05T13:45:15Z,C++,114,"['lidar', 'localization', 'mapping', 'robotics', 'ros', 'ros2', 'slam']",yes,yes,MAYBE,,,,,
R8,book_ros2,fmrico/book_ros2,https://github.com/fmrico/book_ros2,,224,FALSE,2021-12-08T07:03:31Z,2024-07-03T05:27:31Z,C++,97,[],yes,yes,MAYBE,,,,,
R9,Universal_Robots_ROS2_Driver,UniversalRobots/Universal_Robots_ROS2_Driver,https://github.com/UniversalRobots/Universal_Robots_ROS2_Driver,Universal Robots ROS2 driver supporting CB3 and e-Series,42468,FALSE,2020-10-29T18:56:15Z,2024-07-03T03:47:34Z,C++,186,"['robotics', 'ros-industrial', 'ros2', 'ros2-foxy', 'ros2-galactic', 'ros2-humble', 'ros2-rolling']",yes,yes,MAYBE,,,,,
R10,zed-ros2-wrapper,stereolabs/zed-ros2-wrapper,https://github.com/stereolabs/zed-ros2-wrapper,ROS 2 wrapper for the ZED SDK,3191,FALSE,2019-04-12T14:23:46Z,2024-07-04T14:02:49Z,C++,145,"['object-detection', 'point-cloud', 'robotics', 'ros2', 'ros2-wrapper', 'skeleton-tracking', 'slam', 'spatial-mapping', 'stereo-vision', 'visual-odometry', 'zed-camera']",yes,yes,MAYBE,,,,,
