run,package,interval,language,exec_time,num_clients,cpu_percentage,memory_usage
2024-11-23 04:05:11.865,run_18_repetition_3,,,py,180,1,0.0,41664512
2024-11-23 04:05:12.098,run_18_repetition_3,,,py,180,1,0.0,41664512
2024-11-23 04:05:12.325,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:12.544,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:12.764,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:12.986,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:13.208,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:13.430,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:13.653,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:13.873,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:14.097,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:14.322,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:14.544,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:14.766,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:14.986,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:15.207,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:15.428,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:15.649,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:15.869,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:16.090,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:16.312,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:16.534,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:16.755,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:16.976,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:17.197,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:17.417,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:17.638,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:17.858,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:18.079,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:18.301,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:18.521,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:18.743,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:18.972,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:19.200,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:19.420,run_18_repetition_3,,,py,180,1,10.0,41926656
2024-11-23 04:05:19.641,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:19.861,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:20.082,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:20.304,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:20.525,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:20.746,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:20.966,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:21.193,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:21.423,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:21.654,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:21.884,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:22.113,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:22.334,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:22.555,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:22.776,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:22.996,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:23.217,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:23.437,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:23.659,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:23.879,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:24.099,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:24.321,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:24.542,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:24.762,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:24.983,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:25.210,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:25.441,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:25.671,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:25.902,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:26.132,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:26.363,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:26.593,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:26.825,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:27.046,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:27.267,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:27.488,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:27.708,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:27.929,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:28.150,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:28.371,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:28.591,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:28.814,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:29.035,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:29.255,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:29.476,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:29.697,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:29.916,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:30.137,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:30.358,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:30.579,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:30.801,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:31.022,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:31.243,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:31.463,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:31.684,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:31.906,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:32.127,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:32.349,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:32.570,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:32.794,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:33.024,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:33.254,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:33.484,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:33.715,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:33.937,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:34.158,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:34.379,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:34.599,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:34.820,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:35.046,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:35.276,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:35.507,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:35.737,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:35.958,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:36.178,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:36.398,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:36.618,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:36.839,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:37.058,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:37.279,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:37.499,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:37.720,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:37.940,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:38.161,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:38.382,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:38.602,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:38.824,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:39.045,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:39.264,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:39.485,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:39.706,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:39.926,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:40.146,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:40.367,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:40.588,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:40.810,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:41.037,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:41.268,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:41.498,run_18_repetition_3,,,py,180,1,10.0,41926656
2024-11-23 04:05:41.719,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:41.940,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:42.161,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:42.382,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:42.602,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:42.823,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:43.043,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:43.264,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:43.484,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:43.705,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:43.926,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:44.146,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:44.366,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:44.587,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:44.808,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:45.029,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:45.251,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:45.472,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:45.692,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:45.912,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:46.139,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:46.359,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:46.580,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:46.802,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:47.022,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:47.254,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:47.485,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:47.715,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:47.945,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:48.168,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:48.388,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:48.606,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:48.826,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:49.045,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:49.265,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:49.484,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:49.706,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:49.926,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:50.147,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:50.368,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:50.588,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:50.811,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:51.032,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:51.252,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:51.485,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:51.715,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:51.946,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:52.168,run_18_repetition_3,,,py,180,1,0.0,41926656
2024-11-23 04:05:52.400,run_18_repetition_3,,,py,180,1,0.0,41926656
